200 0 1000 4 50 90 1.0471975512 1.5707963268
46 202
299 523
53 241
742 860
671 390
570 841
196 954
791 439
206 276
629 352
22 929
893 397
279 235
108 783
17 535
627 890
382 733
144 370
491 675
956 851
636 46
843 202
180 404
296 656
208 915
735 831
674 395
796 11
583 666
948 104
22 687
797 333
433 912
504 250
679 741
372 609
607 525
872 925
930 274
617 709
38 931
183 939
302 253
336 164
773 547
597 231
264 649
715 837
571 610
156 685
19 371
467 376
260 397
329 726
391 890
395 742
149 24
786 213
442 268
793 549
946 846
679 50
382 884
491 54
191 197
129 924
786 256
511 911
682 386
444 331
202 851
698 711
981 870
431 908
226 653
918 577
80 938
892 295
584 308
748 99
703 88
363 480
463 651
910 565
340 904
817 752
332 362
417 364
27 798
0 125
216 805
692 983
223 4
972 233
364 350
522 397
47 68
710 910
381 828
449 512
922 976
802 388
806 803
523 82
94 150
721 892
399 430
807 954
755 878
180 634
152 845
733 212
181 761
778 681
529 858
303 430
698 450
106 799
964 473
73 502
458 242
906 330
297 796
432 922
479 112
197 190
347 286
495 562
684 680
798 428
686 446
894 215
693 674
78 616
112 269
190 667
49 719
751 67
135 315
982 84
373 386
266 719
686 567
959 111
254 979
233 41
704 774
514 132
68 261
53 900
937 898
762 362
164 910
70 781
382 280
285 527
72 595
552 137
540 878
23 372
983 755
128 379
625 748
149 214
784 847
542 803
240 92
499 185
536 136
707 600
666 380
337 886
938 998
905 360
590 589
538 312
173 541
217 405
378 550
44 929
910 432
60 312
749 866
78 775
252 161
770 238
138 76
246 471
171 525
716 596
546 927
807 545
995 373
398 904
542 111
833 47
792 414
748 181
553 851
718 136
