200 0 1000 4 50 60 1.0471975512 1.5707963268
417 202
698 698
354 340
367 131
459 992
444 598
190 757
67 338
760 349
752 114
189 715
928 236
717 157
181 449
348 406
419 91
629 511
106 678
619 983
767 370
648 719
148 288
965 616
983 20
897 97
26 373
730 605
138 173
519 448
435 370
760 217
293 388
783 686
241 814
401 771
91 568
605 455
934 199
24 698
946 541
768 918
253 17
789 895
262 463
236 578
830 706
495 290
648 553
764 710
63 64
881 207
124 718
104 482
412 186
479 892
995 331
487 859
948 972
102 1
228 95
19 568
650 876
212 324
577 656
774 706
309 478
267 537
22 533
124 401
401 275
789 624
104 454
271 838
667 682
893 30
174 664
494 628
394 779
811 960
169 44
70 714
574 900
165 5
673 829
542 950
449 143
925 15
227 243
191 120
592 703
983 532
655 64
739 209
254 818
434 843
177 63
629 245
900 70
683 649
617 31
193 14
446 133
24 429
686 912
80 150
880 442
74 908
299 537
776 436
73 615
703 455
952 339
823 382
218 956
364 283
682 208
625 901
724 679
94 973
223 189
954 115
119 213
29 617
523 973
731 544
146 155
161 432
267 49
211 95
285 523
621 329
152 732
177 361
693 213
560 568
233 441
435 107
276 922
671 257
617 582
717 136
238 593
142 412
867 196
996 119
84 997
788 474
619 583
255 535
957 531
265 516
22 530
467 636
582 614
571 690
770 298
969 468
779 16
162 581
130 223
686 586
801 517
970 898
38 191
795 798
68 790
321 298
4 584
997 938
980 154
444 417
78 77
141 192
375 640
886 938
179 318
46 235
495 188
437 685
721 510
42 336
768 408
514 190
814 311
301 851
336 986
858 685
243 147
846 471
116 816
196 418
82 333
749 445
763 153
150 653
525 634
423 101
676 264
1000 974
200 532
